DISTRICT,NO. OF PROJECTS,TOTAL PROJECT COST (In Million Rupees),TOTAL FIXED COST (In Million Rupees),TOTAL WORKING CAPITAL (In Million Rupees),TOTAL AMOUNT OF FOREIGN INVESTMENT (In Million Rupees),EMPLOYMENT (In Number)
ACHHAM,4.00,571.18,550.68,20.50,418.18,411.00
ARGHAKHACHI,2.00,1342.09,199.27,1142.83,449.60,331.00
BAGLUNG,1.00,500.00,250.00,250.00,500.00,290.00
BAITADI,5.00,97.00,86.80,10.20,82.00,415.00
BAJHANG,1.00,15.00,12.30,2.70,12.00,70.00
BANKE,22.00,2625.23,2392.34,228.11,484.36,1687.00
BARA,49.00,7890.55,6157.35,1551.73,2353.12,4739.00
BARDIYA,11.00,204.68,161.26,43.42,171.94,493.00
BHAKTAPUR,56.00,4734.17,3856.77,877.41,3194.73,4803.00
CHITWAN,62.00,5061.85,4137.85,887.74,1610.88,8756.00
DADELDHURA,2.00,28.00,23.50,4.50,14.50,55.00
DANG,12.00,4834.90,4533.40,301.50,354.90,1590.00
DARCHULA,2.00,40.40,36.20,4.20,7.42,117.00
DHADING,12.00,2504.89,2432.20,72.69,2265.00,881.00
DHANKUTA,1.00,46.62,37.62,9.00,0.00,120.00
DHANUSHA,3.00,291.04,249.71,41.33,165.52,292.00
DOLKHA,5.00,5800.20,5281.03,519.17,1505.73,325.00
DOTI,1.00,10.00,7.20,2.80,10.00,33.00
GORKHA,5.00,719.09,661.82,57.27,90.23,791.00
HUMLA,7.00,61.00,52.30,8.70,36.74,134.00
ILAM,5.00,309.00,256.44,52.56,267.76,433.00
JAJARKOT,1.00,600.00,580.00,20.00,600.00,280.00
JHAPA,15.00,1051.14,677.40,373.75,288.35,3334.00
KAILALI,7.00,1041.24,967.51,73.73,301.00,1175.00
KANCHANPUR,19.00,886.77,789.81,96.96,239.40,1798.00
KAPILBASTU,9.00,421.71,206.42,150.59,307.81,300.00
KASKI,184.00,26077.42,24605.50,1312.25,10718.47,7701.00
KATHMANDU,1651.00,82676.61,66536.94,15869.60,39581.78,86118.00
KAVRE,59.00,2200.99,1860.88,344.01,1509.70,4834.00
LALITPUR,424.00,19568.49,11876.41,7679.05,15414.24,20608.00
LAMJUNG,6.00,2319.93,2267.25,52.68,519.35,565.00
MAKWANPUR,56.00,7810.88,6047.57,1553.57,2913.74,4886.00
MANANG,3.00,990.00,967.75,22.25,250.01,924.00
MORANG,32.00,4074.47,3062.08,995.96,2109.40,5269.00
MUGU,1.00,8.60,6.00,2.60,8.60,18.00
MUSTANG,4.00,489.74,470.51,19.24,26.52,166.00
MYAGDI,2.00,17015.00,16921.80,93.20,4095.00,59.00
NAWALPARASI,28.00,7843.84,6981.56,814.50,1339.11,3535.00
NUWAKOT,11.00,2350.58,2213.35,136.15,233.70,1009.00
OKHALDHUNDA,1.00,250.00,245.00,5.00,19.00,122.00
PALPA,3.00,339.50,190.78,148.72,314.40,261.00
PARBAT,1.00,1100.00,1089.00,11.00,1.50,2614.00
PARSA,47.00,3571.41,2513.30,1039.91,2225.85,6141.00
RAMECHHAP,1.00,291.34,237.89,53.45,262.21,200.00
RASUWA,7.00,7522.40,6472.28,1035.12,3362.43,205.00
RAUTAHAT,2.00,569.18,515.78,50.02,54.06,639.00
ROLPA,3.00,32.22,28.31,3.91,29.00,156.00
RUPANDEHI,37.00,6323.09,5210.82,939.38,3163.83,3576.00
SANKHUWASABHA,1.00,500.00,488.00,12.00,500.00,250.00
SAPTARI,3.00,430.00,394.50,35.50,299.40,190.00
SINDHULI,1.00,9.00,7.70,1.30,9.00,105.00
SINDHUPALCHOWK,11.00,7092.73,6818.59,274.13,1351.08,3016.00
SIRAHA,5.00,3464.02,3058.89,405.01,2113.20,928.00
SOLUKHUMBU,13.00,3589.17,3361.09,156.90,1308.13,451.00
SUNSARI,26.00,2755.67,2053.17,702.50,1648.85,3519.00
SURKHET,4.00,3617.36,2842.20,775.16,2207.17,366.00
TANAHU,5.00,133.02,104.70,28.32,81.50,316.00
TAPLEJUNG,2.00,12.10,10.14,1.96,11.90,44.00
Unspecified District,6.00,111.84,1896.12,115.72,1587.84,407.00
TOTAL,2959.00,256828.31,215953.02,41493.43,115001.12,192851.00
